holiday_name,holiday_year,holiday_day,holiday_date,holiday_weekday,observed_date,observed_weekday,data_as_of,data_loaded_at
New Year's Day,2010,January 1,2010/01/01,Friday,2010/01/01,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Martin Luther King Jr. Day,2010,January 18,2010/01/18,Monday,2010/01/18,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Presidents' Day,2010,February 15,2010/02/15,Monday,2010/02/15,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Memorial Day,2010,May 31,2010/05/31,Monday,2010/05/31,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Independence Day,2010,July 4,2010/07/04,Sunday,2010/07/05,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Labor Day,2010,September 6,2010/09/06,Monday,2010/09/06,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Columbus Day,2010,October 11,2010/10/11,Monday,2010/10/11,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Veterans Day,2010,November 11,2010/11/11,Thursday,2010/11/11,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Thanksgiving Day,2010,November 25,2010/11/25,Thursday,2010/11/25,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Day After Thanksgiving,2010,November 26,2010/11/26,Friday,2010/11/26,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Christmas Day,2010,December 25,2010/12/25,Saturday,2010/12/24,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
New Year's Day,2011,January 1,2011/01/01,Saturday,2010/12/31,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Martin Luther King Jr. Day,2011,January 17,2011/01/17,Monday,2011/01/17,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Presidents' Day,2011,February 21,2011/02/21,Monday,2011/02/21,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Memorial Day,2011,May 30,2011/05/30,Monday,2011/05/30,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Independence Day,2011,July 4,2011/07/04,Monday,2011/07/04,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Labor Day,2011,September 5,2011/09/05,Monday,2011/09/05,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Columbus Day,2011,October 10,2011/10/10,Monday,2011/10/10,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Veterans Day,2011,November 11,2011/11/11,Friday,2011/11/11,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Thanksgiving Day,2011,November 24,2011/11/24,Thursday,2011/11/24,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Day After Thanksgiving,2011,November 25,2011/11/25,Friday,2011/11/25,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Christmas Day,2011,December 25,2011/12/25,Sunday,2011/12/26,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
New Year's Day,2012,January 1,2012/01/01,Sunday,2012/01/02,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Martin Luther King Jr. Day,2012,January 16,2012/01/16,Monday,2012/01/16,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Presidents' Day,2012,February 20,2012/02/20,Monday,2012/02/20,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Memorial Day,2012,May 28,2012/05/28,Monday,2012/05/28,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Independence Day,2012,July 4,2012/07/04,Wednesday,2012/07/04,Wednesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Labor Day,2012,September 3,2012/09/03,Monday,2012/09/03,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Columbus Day,2012,October 8,2012/10/08,Monday,2012/10/08,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Veterans Day,2012,November 11,2012/11/11,Sunday,2012/11/12,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Thanksgiving Day,2012,November 22,2012/11/22,Thursday,2012/11/22,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Day After Thanksgiving,2012,November 23,2012/11/23,Friday,2012/11/23,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Christmas Day,2012,December 25,2012/12/25,Tuesday,2012/12/25,Tuesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
New Year's Day,2013,January 1,2013/01/01,Tuesday,2013/01/01,Tuesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Martin Luther King Jr. Day,2013,January 21,2013/01/21,Monday,2013/01/21,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Presidents' Day,2013,February 18,2013/02/18,Monday,2013/02/18,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Memorial Day,2013,May 27,2013/05/27,Monday,2013/05/27,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Independence Day,2013,July 4,2013/07/04,Thursday,2013/07/04,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Labor Day,2013,September 2,2013/09/02,Monday,2013/09/02,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Columbus Day,2013,October 14,2013/10/14,Monday,2013/10/14,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Veterans Day,2013,November 11,2013/11/11,Monday,2013/11/11,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Thanksgiving Day,2013,November 28,2013/11/28,Thursday,2013/11/28,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Day After Thanksgiving,2013,November 29,2013/11/29,Friday,2013/11/29,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Christmas Day,2013,December 25,2013/12/25,Wednesday,2013/12/25,Wednesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
New Year's Day,2014,January 1,2014/01/01,Wednesday,2014/01/01,Wednesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Martin Luther King Jr. Day,2014,January 20,2014/01/20,Monday,2014/01/20,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Presidents' Day,2014,February 17,2014/02/17,Monday,2014/02/17,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Memorial Day,2014,May 26,2014/05/26,Monday,2014/05/26,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Independence Day,2014,July 4,2014/07/04,Friday,2014/07/04,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Labor Day,2014,September 1,2014/09/01,Monday,2014/09/01,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Columbus Day,2014,October 13,2014/10/13,Monday,2014/10/13,Monday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Veterans Day,2014,November 11,2014/11/11,Tuesday,2014/11/11,Tuesday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Thanksgiving Day,2014,November 27,2014/11/27,Thursday,2014/11/27,Thursday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
Day After Thanksgiving,2014,November 28,2014/11/28,Friday,2014/11/28,Friday,2024/06/12 12:00:00 AM,2025/06/01 01:04:08 AM
